#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:127 out:127 type:B dur:2 cpbdur:2 q:29.26 aq:18.50 tex:183 mv:578 misc:263 imb:1 pmb:43 smb:1156 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:16 mv:368 misc:240 imb:0 pmb:30 smb:1170 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:29.26 aq:24.03 tex:101 mv:409 misc:234 imb:0 pmb:29 smb:1171 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:29.26 aq:15.37 tex:1644 mv:679 misc:253 imb:25 pmb:35 smb:1140 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:29.26 aq:15.85 tex:248 mv:519 misc:257 imb:1 pmb:41 smb:1158 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:29.26 aq:22.22 tex:85 mv:392 misc:259 imb:0 pmb:32 smb:1168 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:22 mv:374 misc:228 imb:1 pmb:29 smb:1170 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:29.26 aq:14.95 tex:1833 mv:683 misc:268 imb:15 pmb:41 smb:1144 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:29.26 aq:21.99 tex:178 mv:652 misc:258 imb:1 pmb:48 smb:1151 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:16 mv:429 misc:251 imb:0 pmb:33 smb:1167 d:- ref:0 ;
