#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:104 out:101 type:P dur:2 cpbdur:2 q:29.26 aq:18.37 tex:4333 mv:1412 misc:303 imb:23 pmb:103 smb:1074 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:29.26 aq:21.67 tex:389 mv:974 misc:381 imb:4 pmb:71 smb:1125 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:29.26 aq:14.95 tex:98 mv:551 misc:319 imb:5 pmb:40 smb:1155 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:29.26 aq:22.74 tex:162 mv:621 misc:321 imb:1 pmb:51 smb:1148 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:29.26 aq:17.07 tex:3411 mv:1363 misc:314 imb:22 pmb:110 smb:1068 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:29.26 aq:18.89 tex:196 mv:806 misc:294 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:108 out:107 type:P dur:2 cpbdur:2 q:29.26 aq:15.89 tex:4158 mv:1520 misc:322 imb:47 pmb:114 smb:1039 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:29.26 aq:17.27 tex:283 mv:846 misc:327 imb:1 pmb:68 smb:1131 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:29.26 aq:18.36 tex:5852 mv:1741 misc:287 imb:38 pmb:118 smb:1044 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:29.26 aq:25.11 tex:483 mv:1142 misc:351 imb:5 pmb:80 smb:1115 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:29.26 aq:16.77 tex:6702 mv:2007 misc:291 imb:55 pmb:123 smb:1022 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.26 aq:25.80 tex:432 mv:1433 misc:391 imb:3 pmb:93 smb:1104 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.26 aq:16.97 tex:4915 mv:1649 misc:332 imb:25 pmb:130 smb:1045 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:29.26 aq:19.53 tex:17408 mv:1714 misc:270 imb:214 pmb:42 smb:944 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:29.26 aq:17.42 tex:5714 mv:3246 misc:384 imb:25 pmb:155 smb:1020 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:29.26 aq:18.37 tex:1458 mv:2172 misc:402 imb:15 pmb:122 smb:1063 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:29.26 aq:19.35 tex:2003 mv:2328 misc:389 imb:14 pmb:124 smb:1062 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:29.26 aq:19.51 tex:9409 mv:2095 misc:304 imb:86 pmb:104 smb:1010 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:29.26 aq:28.52 tex:3132 mv:2468 misc:376 imb:13 pmb:148 smb:1039 d:- ref:0 ;
